shap,pred,weights
-0.42516099999999996,0.07955711,200
-0.41765252,0.06295033,200
-0.41358808,0.054020315,200
-0.40009284,0.04601158599999999,200
-0.40086806,0.058401786,200
-0.39744216,0.04860512,200
-0.39400226,0.034744196,200
-0.39665994,0.048681904000000005,200
-0.40150990000000003,0.09242869,200
-0.39399004,0.03616224,200
-0.39411727,0.04119291,200
-0.39029083,0.024169039,200
-0.39455006,0.048470367,200
-0.393441,0.04294673,200
-0.40032813,0.11647647,200
-0.3910913,0.03443409,200
-0.3904183,0.03147581,200
-0.39130640000000005,0.03581623,200
-0.38970912,0.028941736000000003,200
-0.39098495,0.035815224,400
-0.39098495,0.035815224,400
-0.3922685,0.043160375,200
-0.39371243,0.05355027,200
-0.39427572,0.07289976,200
-0.38630727,0.030461227999999996,200
-0.38950998,0.047636292999999996,200
-0.39524904,0.10414315,200
-0.38704222,0.04038285,200
-0.38828126,0.05076496,200
-0.38278654,0.026759877999999997,200
-0.38842952,0.05546107,200
-0.38618675,0.042778883,200
-0.38214517,0.028860446,200
-0.38724363,0.059699275,200
-0.38798037,0.06573607,200
-0.3854837,0.055217046,200
-0.38946646,0.09195160000000001,200
-0.38179204,0.041052099999999994,200
-0.38035549999999996,0.035988427999999996,200
-0.38400394,0.06726789,200
-0.38023952,0.044938378,200
-0.38609174,0.1011021,200
-0.38146326,0.060141652999999996,200
-0.38167384,0.06808312,200
-0.38014036,0.06279143,200
-0.37663220000000003,0.04566957,200
-0.37239707,0.026890285,200
-0.37379122,0.033565197000000005,200
-0.37099224,0.023350596,200
-0.37148997,0.029055754,200
-0.37150140000000004,0.029180722000000003,200
-0.37575302,0.05294983,200
-0.37175152,0.03319318,200
-0.37440357,0.047601987000000005,200
-0.37617818,0.06449957,400
-0.37617818,0.06449957,400
-0.37244585,0.04333984,200
-0.36811950000000004,0.024279022999999997,200
-0.37158656,0.039622407000000005,200
-0.37692538,0.072754964,200
-0.3699009,0.032195054,200
-0.37605566,0.06765635,200
-0.37339744,0.050653002999999995,200
-0.36964014,0.032683834,200
-0.37259158,0.047258057,200
-0.36909488,0.035528372999999995,200
-0.36860847,0.034517456,200
-0.36557686,0.022027457,200
-0.36728520000000003,0.02927434,400
-0.36728520000000003,0.02927434,400
-0.3687353,0.036338374,200
-0.37246355,0.05591294,200
-0.3667213,0.027783178,200
-0.36922255,0.03910776,200
-0.36823690000000003,0.035354002999999995,200
-0.37092504,0.048874624000000005,200
-0.3658366,0.026265701000000002,200
-0.36633244,0.029347356,200
-0.36567155,0.026955537,200
-0.36803457,0.037231132,200
-0.36782783,0.037917215,200
-0.36421162,0.022988537000000003,200
-0.36874273,0.044766586,200
-0.36682573,0.035758253,200
-0.36691555,0.03660568,200
-0.3683737,0.046444807000000005,200
-0.36036763,0.01502365,200
-0.36479446,0.03238968,200
-0.3657066,0.037248638,200
-0.3644039,0.033904176,200
-0.3597537,0.01585564,200
-0.36165938,0.023958199,200
-0.36451540000000004,0.039209153999999996,200
-0.36307096,0.033317957,200
-0.3689815,0.06653437,200
-0.37227312,0.110898435,200
-0.36874303,0.06634535,200
-0.35879493,0.01805015,200
-0.36527070000000006,0.04584372,200
-0.36284906,0.034708342999999996,200
-0.36394846,0.04059483,200
-0.35857657,0.018450616,200
-0.3639309,0.04052988,200
-0.36161414,0.031122603,200
-0.36425415,0.04394768,200
-0.37034947,0.09246001400000001,200
-0.35662958,0.014398561,200
-0.3603249,0.028680166,200
-0.3583066,0.020885268000000002,200
-0.35752162,0.01888561,200
-0.35672170000000003,0.016033066000000002,200
-0.36499178,0.053373076,200
-0.35946327,0.028283536,200
-0.3587822,0.027856022,200
-0.3600277,0.033125427,200
-0.3591876,0.030458917999999998,200
-0.36344606,0.050635327,200
-0.35484028,0.014180189,200
-0.36515263,0.06156708,200
-0.3604279,0.037103612,200
-0.35513446,0.016252032,200
-0.36202475,0.04552342400000001,200
-0.35983930000000003,0.03668575,200
-0.36653617,0.07825188,400
-0.36653617,0.07825188,400
-0.35956758,0.037145175,200
-0.35516414,0.019726153,200
-0.3531891,0.014751404,200
-0.35757659999999997,0.031378575,200
-0.35593417,0.025106238,200
-0.35180414,0.012670536999999999,200
-0.36225662,0.058534585,200
-0.36687190000000003,0.11223842,200
-0.35251948,0.015425306000000001,200
-0.3547086,0.024517551000000002,200
-0.35636090000000004,0.031173974,200
-0.35865107,0.046218265,200
